Id,Username,Firstname,Lastname,Displayname,Jobtitle,Department,Officenumber,Officephone,Mobilephone,Fax,Address,City,State Or Province,Zip Or Postal Code,Country Or Region
1000200,hris.Green@kronos.com,Chris,Green,Chris Green,It Manager,Information Technology,123451,123-555-1211,123-555-6641,123-555-9821,Microsoft Way,Redmond,Wa,98052,United States
1000201,Ben.Andrews@kronos.com,Ben,Andrews,Ben Andrews,It Manager,Information Technology,123452,123-555-1212,123-555-6642,123-555-9822,Microsoft Way,Redmond,Wa,98052,United States
1000202,David.Longmuir@kronos.com,David,Longmuir,David Longmuir,It Manager,Information Technology,123453,123-555-1213,123-555-6643,123-555-9823,Microsoft Way,Redmond,Wa,98052,United States
1000203,Cynthia.Carey@kronos.com,Cynthia,Carey,Cynthia Carey,It Manager,Information Technology,123454,123-555-1214,123-555-6644,123-555-9824,Microsoft Way,Redmond,Wa,98052,United States
1000204,Melissa.Macbeth@kronos.com,Melissa,Macbeth,Melissa Macbeth,It Manager,Information Technology,123455,123-555-1215,123-555-6645,123-555-9825,Microsoft Way,Redmond,Wa,98052,United States
1000205,Christopher.Greendoor@kronos.com,Christopher,Greendoor,Christopher Greendoor,It Manager,Information Technology,123451,123-555-1211,123-555-6646,123-555-9826,Microsoft Way,Redmond,Wa,98052,United States
1000206,Benjamin.Reinolds@kronos.com,Benjamin,Reinolds,Benjamin Reinolds,Software Engineer,Information Technology,123452,123-555-1212,123-555-6647,123-555-9827,Microsoft Way,Redmond,Wa,98052,United States
1000207,Danniel.Long@kronos.com,Danniel,Long,Danniel Long,Software Engineer,Information Technology,123453,123-555-1213,123-555-6648,123-555-9828,Microsoft Way,Redmond,Wa,98052,United States
1000208,Briggeth.Carson@kronos.com,Briggeth,Carson,Briggeth Carson,Software Engineer,Information Technology,123454,123-555-1214,123-555-6649,123-555-9829,Microsoft Way,Redmond,Wa,98052,United States
1000209,Mell.Macbeth@kronos.com,Mell,Macbeth,Melll Macbeth,Software Engineer,Information Technology,123455,123-555-1215,123-555-6650,123-555-9830,Microsoft Way,Redmond,Wa,98052,United States
1000210,Sturart.Bent@kronos.com,Stuart,Bent,Stuart Bent,Software Engineer,Information Technology,123456,123-555-1216,123-555-6651,123-555-9831,Microsoft Way,Redmond,Wa,98053,United States
1000211,Martha.Smith@kronos.com,Martha,Smith,Martha Smith,Software Engineer,Information Technology,123457,123-555-1217,123-555-6652,123-555-9832,Microsoft Way,Redmond,Wa,98054,United States
1000212,Alison.Johnson@kronos.com,Alison,Johnson,Alison Johnson,Software Engineer,Information Technology,123458,123-555-1218,123-555-6653,123-555-9833,Microsoft Way,Redmond,Wa,98055,United States
1000213,Elizabeth.Williams@kronos.com,Elizabeth,Williams,Elizabeth Williams,Software Engineer,Information Technology,123459,123-555-1219,123-555-6654,123-555-9834,Microsoft Way,Redmond,Wa,98056,United States
1000214,Emily.Brown@kronos.com,Emily,Brown,Emily Brown,Software Engineer,Information Technology,123460,123-555-1220,123-555-6655,123-555-9835,Microsoft Way,Redmond,Wa,98057,United States
1000215,Jane.Jones@kronos.com,Jane,Jones,Jane Jones,Qa Tester,Information Technology,123461,123-555-1221,123-555-6656,123-555-9836,Microsoft Way,Redmond,Wa,98058,United States
1000216,Jenna.Garcia@kronos.com,Jenna,García,Jenna García,Qa Tester,Information Technology,123462,123-555-1222,123-555-6657,123-555-9837,Microsoft Way,Redmond,Wa,98059,United States
1000217,Katherine.Miller@kronos.com,Katherine,Miller,Katherine Miller,Qa Tester,Information Technology,123463,123-555-1223,123-555-6658,123-555-9838,Microsoft Way,Redmond,Wa,98060,United States
1000218,Fait.Davis@kronos.com,Fait,Davis,Fait Davis,Qa Tester,Information Technology,123464,123-555-1224,123-555-6659,123-555-9839,Microsoft Way,Redmond,Wa,98061,United States
1000219,James.Smith@kronos.com,James,Smith,,Qa Tester,Information Technology,123465,123-555-1225,123-555-6660,123-555-9840,Microsoft Way,Redmond,Wa,98062,United States
1000220,Robert.Johnson@kronos.com,Robert,Johnson,,Qa Tester,Information Technology,123466,123-555-1226,123-555-6661,123-555-9841,Microsoft Way,Redmond,Wa,98063,United States
1000221,John.Williams@kronos.com,John,Williams,,Qa Tester,Information Technology,123467,123-555-1227,123-555-6662,123-555-9842,Microsoft Way,Redmond,Wa,98064,United States
1000222,Michael.Brown@kronos.com,Michael,Brown,,Qa Tester,Information Technology,123468,123-555-1228,123-555-6663,123-555-9843,Microsoft Way,Redmond,Wa,98065,United States
1000223,William.Jones@kronos.com,William,Jones,,Qa Tester,Information Technology,123469,123-555-1229,123-555-6664,123-555-9844,Microsoft Way,Redmond,Wa,98066,United States
1000224,David.Garcia@kronos.com,David,Garcia,,Qa Tester,Information Technology,123470,123-555-1230,123-555-6665,123-555-9845,Microsoft Way,Redmond,Wa,98067,United States
1000225,Richard.Miller@kronos.com,Richard,Miller,,Qa Tester,Information Technology,123471,123-555-1231,123-555-6666,123-555-9846,Microsoft Way,Redmond,Wa,98068,United States
1000226,Joseph.Davis@kronos.com,Joseph,Davis,,Qa Tester,Information Technology,123472,123-555-1232,123-555-6667,123-555-9847,Microsoft Way,Redmond,Wa,98069,United States
1000227,Thomas.Rodriguez@kronos.com,Thomas,Rodriguez,,Qa Tester,Information Technology,123473,123-555-1233,123-555-6668,123-555-9848,Microsoft Way,Redmond,Wa,98070,United States
1000228,Charles.Martinez@kronos.com,Charles,Martinez,,Qa Tester,Information Technology,123474,123-555-1234,123-555-6669,123-555-9849,Microsoft Way,Redmond,Wa,98071,United States
1000229,Christopher.Hernandez@kronos.com,Christopher,Hernandez,,Qa Tester,Information Technology,123475,123-555-1235,123-555-6670,123-555-9850,Microsoft Way,Redmond,Wa,98072,United States
1000230,Daniel.Lopez@kronos.com,Daniel,Lopez,,Qa Tester,Information Technology,123476,123-555-1236,123-555-6671,123-555-9851,Microsoft Way,Redmond,Wa,98073,United States
1000231,Matthew.Gonzales@kronos.com,Matthew,Gonzales,,Software Engineer,Information Technology,123477,123-555-1237,123-555-6672,123-555-9852,Microsoft Way,Redmond,Wa,98074,United States
1000232,Anthony.Wilson@kronos.com,Anthony,Wilson,,Software Engineer,Information Technology,123478,123-555-1238,123-555-6673,123-555-9853,Microsoft Way,Redmond,Wa,98075,United States
1000233,Mark.Anderson@kronos.com,Mark,Anderson,,Software Engineer,Information Technology,123479,123-555-1239,123-555-6674,123-555-9854,Microsoft Way,Redmond,Wa,98076,United States
1000234,Donald.Thomas@kronos.com,Donald,Thomas,,Software Engineer,Information Technology,123480,123-555-1240,123-555-6675,123-555-9855,Microsoft Way,Redmond,Wa,98077,United States
1000235,Steven.Taylor@kronos.com,Steven,Taylor,,Software Engineer,Information Technology,123481,123-555-1241,123-555-6676,123-555-9856,Microsoft Way,Redmond,Wa,98078,United States
1000236,Paul.Moore@kronos.com,Paul,Moore,,Software Engineer,Information Technology,123482,123-555-1242,123-555-6677,123-555-9857,Microsoft Way,Redmond,Wa,98079,United States
1000237,Andrew.Jackson@kronos.com,Andrew,Jackson,,Software Engineer,Information Technology,123483,123-555-1243,123-555-6678,123-555-9858,Microsoft Way,Redmond,Wa,98080,United States
1000238,Joshua.Martin@kronos.com,Joshua,Martin,,Software Engineer,Information Technology,123484,123-555-1244,123-555-6679,123-555-9859,Microsoft Way,Redmond,Wa,98081,United States
1000239,Kenneth.Lee@kronos.com,Kenneth,Lee,,Software Engineer,Information Technology,123485,123-555-1245,123-555-6680,123-555-9860,Microsoft Way,Redmond,Wa,98082,United States
1000240,Kevin.Perez@kronos.com,Kevin,Perez,,Recruiter,Human Resource Management.,123486,123-555-1246,123-555-6681,123-555-9861,Microsoft Way,Redmond,Wa,98083,United States
1000241,Brian.Thompson@kronos.com,Brian,Thompson,,Recruiter,Human Resource Management.,123487,123-555-1247,123-555-6682,123-555-9862,Microsoft Way,Redmond,Wa,98084,United States
1000242,George.White@kronos.com,George,White,,Recruiter,Human Resource Management.,123488,123-555-1248,123-555-6683,123-555-9863,Microsoft Way,Redmond,Wa,98085,United States
1000243,Edward.Harris@kronos.com,Edward,Harris,,Recruiter,Human Resource Management.,123489,123-555-1249,123-555-6684,123-555-9864,Microsoft Way,Redmond,Wa,98086,United States
1000244,Ronald.Sanchez@kronos.com,Ronald,Sanchez,,Recruiter,Human Resource Management.,123490,123-555-1250,123-555-6685,123-555-9865,Microsoft Way,Redmond,Wa,98087,United States
1000245,Timothy.Clark@kronos.com,Timothy,Clark,,Recruiter,Human Resource Management.,123491,123-555-1251,123-555-6686,123-555-9866,Microsoft Way,Redmond,Wa,98088,United States
1000246,Jason.Ramirez@kronos.com,Jason,Ramirez,,Recruiter,Human Resource Management.,123492,123-555-1252,123-555-6687,123-555-9867,Microsoft Way,Redmond,Wa,98089,United States
1000247,Jeffrey.Lewis@kronos.com,Jeffrey,Lewis,,Recruiter,Human Resource Management.,123493,123-555-1253,123-555-6688,123-555-9868,Microsoft Way,Redmond,Wa,98090,United States
1000248,Ryan.Robinson@kronos.com,Ryan,Robinson,,Recruiter,Human Resource Management.,123494,123-555-1254,123-555-6689,123-555-9869,Microsoft Way,Redmond,Wa,98091,United States
1000249,Jacob.Walker@kronos.com,Jacob,Walker,,Recruiter,Human Resource Management.,123495,123-555-1255,123-555-6690,123-555-9870,Microsoft Way,Redmond,Wa,98092,United States
1000250,Gary.Young@kronos.com,Gary,Young,,Recruiter,Human Resource Management.,123496,123-555-1256,123-555-6691,123-555-9871,Microsoft Way,Redmond,Wa,98093,United States
1000251,Nicholas.Allen@kronos.com,Nicholas,Allen,,Recruiter,Human Resource Management.,123497,123-555-1257,123-555-6692,123-555-9872,Microsoft Way,Redmond,Wa,98094,United States
1000252,Eric.King@kronos.com,Eric,King,,Recruiter,Human Resource Management.,123498,123-555-1258,123-555-6693,123-555-9873,Microsoft Way,Redmond,Wa,98095,United States
1000253,Jonathan.Wright@kronos.com,Jonathan,Wright,,Recruiter,Human Resource Management.,123499,123-555-1259,123-555-6694,123-555-9874,Microsoft Way,Redmond,Wa,98096,United States
1000254,Stephen.Scott@kronos.com,Stephen,Scott,,Recruiter,Human Resource Management.,123500,123-555-1260,123-555-6695,123-555-9875,Microsoft Way,Redmond,Wa,98097,United States
1000255,Larry.Torres@kronos.com,Larry,Torres,,Recruiter,Human Resource Management.,123501,123-555-1261,123-555-6696,123-555-9876,Microsoft Way,Redmond,Wa,98098,United States
1000256,Justin.Nguyen@kronos.com,Justin,Nguyen,,Recruiter,Human Resource Management.,123502,123-555-1262,123-555-6697,123-555-9877,Microsoft Way,Redmond,Wa,98099,United States
1000257,Scott.Hill@kronos.com,Scott,Hill,,Recruiter,Human Resource Management.,123503,123-555-1263,123-555-6698,123-555-9878,Microsoft Way,Redmond,Wa,98100,United States
1000258,Brandon.Flores@kronos.com,Brandon,Flores,,Recruiter,Human Resource Management.,123504,123-555-1264,123-555-6699,123-555-9879,Microsoft Way,Redmond,Wa,98101,United States
1000259,Benjamin.Green@kronos.com,Benjamin,Green,,Recruiter,Human Resource Management.,123505,123-555-1265,123-555-6700,123-555-9880,Microsoft Way,Redmond,Wa,98102,United States
1000260,Samuel.Adams@kronos.com,Samuel,Adams,,Recruiter,Human Resource Management.,123506,123-555-1266,123-555-6701,123-555-9881,Microsoft Way,Redmond,Wa,98103,United States
1000261,Gregory.Nelson@kronos.com,Gregory,Nelson,,Recruiter,Human Resource Management.,123507,123-555-1267,123-555-6702,123-555-9882,Microsoft Way,Redmond,Wa,98104,United States
1000262,Frank.Baker@kronos.com,Frank,Baker,,Recruiter,Human Resource Management.,123508,123-555-1268,123-555-6703,123-555-9883,Microsoft Way,Redmond,Wa,98105,United States
1000263,Alexander.Hall@kronos.com,Alexander,Hall,,Recruiter,Human Resource Management.,123509,123-555-1269,123-555-6704,123-555-9884,Microsoft Way,Redmond,Wa,98106,United States
1000264,Raymond.Rivera@kronos.com,Raymond,Rivera,,Recruiter,Human Resource Management.,123510,123-555-1270,123-555-6705,123-555-9885,Microsoft Way,Redmond,Wa,98107,United States
1000265,Patrick.Campbell@kronos.com,Patrick,Campbell,,Recruiter,Human Resource Management.,123511,123-555-1271,123-555-6706,123-555-9886,Microsoft Way,Redmond,Wa,98108,United States
1000266,Jack.Mitchell@kronos.com,Jack,Mitchell,,Recruiter,Human Resource Management.,123512,123-555-1272,123-555-6707,123-555-9887,Microsoft Way,Redmond,Wa,98109,United States
1000267,Dennis.Carter@kronos.com,Dennis,Carter,,Recruiter,Human Resource Management.,123513,123-555-1273,123-555-6708,123-555-9888,Microsoft Way,Redmond,Wa,98110,United States
1000268,Jerry.Roberts@kronos.com,Jerry,Roberts,,Accounting Manager,Accounting And Finance,123514,123-555-1274,123-555-6709,123-555-9889,Microsoft Way,Redmond,Wa,98111,United States
1000269,Tyler.Gomez@kronos.com,Tyler,Gomez,,Accounting Manager,Accounting And Finance,123515,123-555-1275,123-555-6710,123-555-9890,Microsoft Way,Redmond,Wa,98112,United States
1000270,Aaron.Phillips@kronos.com,Aaron,Phillips,,Accounting Manager,Accounting And Finance,123516,123-555-1276,123-555-6711,123-555-9891,Microsoft Way,Redmond,Wa,98113,United States
1000271,Jose.Evans@kronos.com,Jose,Evans,,Accounting Manager,Accounting And Finance,123517,123-555-1277,123-555-6712,123-555-9892,Microsoft Way,Redmond,Wa,98114,United States
1000272,Adam.Turner@kronos.com,Adam,Turner,,Accounting Manager,Accounting And Finance,123518,123-555-1278,123-555-6713,123-555-9893,Microsoft Way,Redmond,Wa,98115,United States
1000273,Henry.Diaz@kronos.com,Henry,Diaz,,Accounting Manager,Accounting And Finance,123519,123-555-1279,123-555-6714,123-555-9894,Microsoft Way,Redmond,Wa,98116,United States
1000274,Nathan.Parker@kronos.com,Nathan,Parker,,Accounting Manager,Accounting And Finance,123520,123-555-1280,123-555-6715,123-555-9895,Microsoft Way,Redmond,Wa,98117,United States
1000275,Douglas.Cruz@kronos.com,Douglas,Cruz,,Accounting Manager,Accounting And Finance,123521,123-555-1281,123-555-6716,123-555-9896,Microsoft Way,Redmond,Wa,98118,United States
1000276,Zachary.Edwards@kronos.com,Zachary,Edwards,,Accounting Manager,Accounting And Finance,123522,123-555-1282,123-555-6717,123-555-9897,Microsoft Way,Redmond,Wa,98119,United States
1000277,Peter.Collins@kronos.com,Peter,Collins,,Accounting Manager,Accounting And Finance,123523,123-555-1283,123-555-6718,123-555-9898,Microsoft Way,Redmond,Wa,98120,United States
1000278,Kyle.Reyes@kronos.com,Kyle,Reyes,,Accounting Manager,Accounting And Finance,123524,123-555-1284,123-555-6719,123-555-9899,Microsoft Way,Redmond,Wa,98121,United States
1000279,Walter.Stewart@kronos.com,Walter,Stewart,,Accounting Manager,Accounting And Finance,123525,123-555-1285,123-555-6720,123-555-9900,Microsoft Way,Redmond,Wa,98122,United States
1000280,Ethan.Morris@kronos.com,Ethan,Morris,,Accounting Manager,Accounting And Finance,123526,123-555-1286,123-555-6721,123-555-9901,Microsoft Way,Redmond,Wa,98123,United States
1000281,Jeremy.Morales@kronos.com,Jeremy,Morales,,Accounting Manager,Accounting And Finance,123527,123-555-1287,123-555-6722,123-555-9902,Microsoft Way,Redmond,Wa,98124,United States
1000282,Harold.Murphy@kronos.com,Harold,Murphy,,Accounting Manager,Accounting And Finance,123528,123-555-1288,123-555-6723,123-555-9903,Microsoft Way,Redmond,Wa,98125,United States
